,title,author,publication_day,publication_month,publication_year,format,current_price,original_price
656,"Peaceful Parent, Happy Kids Workbook",Dr Laura Markham,27,2,2018,Paperback,25.79,25.79
657,Grimgar of Fantasy and Ash (Light Novel) Vol. 2,Ao Jyumonji,8,8,2017,Paperback,16.27,16.27
658,Accessing the Healing Power of the Vagus Nerve,Stanley Rosenbery,9,4,2018,Paperback,22.73,25.95
659,The Bhagavad Gita,Eknath Easwaran,31,5,2007,Paperback,11.7,11.95
660,Throne of Glass Box Set,Sarah J. Maas,1,11,2019,Hardback,161.75,161.75
661,In Five Years,Rebecca Serle,1,10,2020,Paperback,16.21,16.21
662,Happy Sexy Millionaire,Steven Bartlett,25,3,2021,Hardback,18.57,19.99
663,The Smartest Giant in Town,Julia Donaldson,12,9,2016,Paperback,19.1,19.1
664,Berserk Deluxe Volume 7,Kentaro Miura,9,3,2021,Hardback,56.05,56.05
665,Principles,Ray Dalio,6,11,2017,Hardback,30.82,30.82
666,Gravity Falls: Journal 3,Alex Hirsch,2,8,2016,Hardback,27.15,27.15
667,Brief Answers to the Big Questions,Stephen Hawking,5,3,2020,Paperback,15.23,15.23
668,The State Of Affairs,Esther Perel,3,10,2019,Paperback,10.75,13.72
669,Practising Parisienne,Marissa Cox,2,9,2021,Hardback,21.3,21.3
670,Iced,Felix Francis,16,9,2021,Paperback,32.98,32.98
671,"JoJo's Bizarre Adventure: Part 1--Phantom Blood, Vol. 3",Hirohiko Araki,27,8,2015,Hardback,21.21,21.21
672,"Hunter x Hunter, Vol. 6",Yoshihiro Togashi,22,9,2016,Paperback,10.31,10.31
673,"Hunter x Hunter, Vol. 20",Yoshihiro Togashi,22,9,2016,Paperback,10.31,10.31
674,In My Heart,Jo Witek,14,10,2014,Hardback,18.01,18.01
675,Magpie Murders,Anthony Horowitz,21,11,2017,Paperback,12.15,12.35
676,Tabby McTat,Julia Donaldson,1,12,2020,Paperback,13.66,13.66
677,Dead Poets Society,N.H. Kleinbaum,7,12,2006,Paperback,8.25,8.25
678,Skin in the Game,Jane Wurwand,10,12,2021,Hardback,25.05,27.99
679,The Shadows Between Us,Tricia Levenseller,25,2,2020,Hardback,19.21,19.21
680,Rider-Waite Tarot Deck,,1,3,2003,Cards,20.39,21.95
681,Great Circle,Maggie Shipstead,4,5,2021,Paperback,24.0,24.0
682,Peek-A Who?,Nina Laden,15,9,2005,Hardback,7.17,7.17
683,The Nickel Boys,Colson Whitehead,30,6,2020,Paperback,12.31,12.35
684,The Bell Jar,Sylvia Plath,2,6,2005,Paperback,13.36,13.36
685,China Coup,Roger Garside,1,6,2021,Hardback,24.31,24.31
686,The Richest Man In Babylon,George S Clason,31,10,2018,Paperback,8.93,9.99
687,Persepolis,Marjane Satrapi,1,6,2004,Paperback,14.64,16.0
688,Mating in Captivity,Esther Perel,20,9,2007,Paperback,16.55,16.55
689,"Women, Race & Class",Angela Y. Davis,3,10,2019,Paperback,16.9,16.9
690,Pedagogy of the Oppressed,Paulo Freire,6,4,2017,Paperback,13.47,13.72
691,Philosophical Devices,David Papineau,25,11,2012,Paperback,23.68,23.68
692,The Witches,Roald Dahl,16,8,2007,Paperback,8.08,8.08
693,Pride and Prejudice,Jane Austen,6,12,2012,Paperback,10.49,10.49
694,Frankenstein,Mary Shelley,1,5,2012,Paperback,9.72,9.72
695,Letters from a Stoic,Seneca,23,8,2017,Paperback,15.47,17.0
696,"Guns, Germs and Steel",Jared Diamond,26,4,2000,Paperback,16.62,22.0
697,Who Moved My Cheese,Spencer Johnson,31,10,2018,Paperback,8.68,13.25
698,Serpent & Dove,Shelby Mahurin,3,9,2020,Paperback,12.44,12.99
699,Rejected Princesses,Jason Porath,1,12,2016,Hardback,29.4,29.4
700,The Virgin Suicides,Jeffrey Eugenides,13,5,2021,Paperback,15.57,15.57
701,Fahrenheit 451,Ray Bradbury,16,3,2018,Paperback,14.63,17.75
702,How to Catch a Star,Oliver Jeffers,3,5,2005,Paperback,10.68,12.5
703,Plants for Your Food Forest,Plants for a Future,15,6,2021,Paperback,27.35,27.35
704,Caraval,Stephanie Garber,28,9,2021,Paperback,16.59,17.95
705,Chainsaw Man 1,Tatsuki Fujimoto,1,10,2020,Paperback,9.22,9.22
706,"Yotsuba&!, Vol. 15",Kiyohiko Azuma,28,9,2021,Paperback,13.79,13.79
707,"Haikyu!!, Vol. 45",Haruichi Furudate,25,11,2021,Paperback,8.92,9.99
708,"BEASTARS, Vol. 14",Paru Itagaki,14,10,2021,Paperback,12.67,12.99
709,Hayao Miyazaki,Jessica Niebel,7,9,2021,Hardback,55.27,55.27
710,My Mouth is a Volcano!,Julia Cook,1,10,2005,Paperback,10.27,10.27
711,The Long Field,Pamela Petro,14,9,2021,Hardback,25.41,30.0
712,Embroidering the Everyday,Cas Holmes,7,9,2021,Hardback,32.5,34.99
713,Getting to Yes,Roger Fisher,7,6,2012,Paperback,17.05,19.75
714,Between Two Hells,Diarmaid Ferriter,4,5,2022,Hardback,39.13,39.13
715,Stillness is the Key,Ryan Holiday,8,10,2020,Paperback,16.9,16.9
716,Weaving,Ann Richards,27,9,2021,Hardback,30.74,34.35
717,The Winter of the Witch,Katherine Arden,3,10,2019,Paperback,16.96,16.96
718,The Wellbeing Journal,Mind,1,5,2018,Paperback,13.36,13.36
719,Becoming Supernatural,Dr Joe Dispenza,3,5,2019,Paperback,22.84,22.84
720,Witch Hat Atelier 8,Kamome Shirahama,28,9,2021,Paperback,13.04,13.04
721,A Touch of Malice,Scarlett St. Clair,27,9,2021,Paperback,18.68,18.68
722,Can't Hurt Me,David Goggins,10,3,2020,Paperback,26.47,26.47
723,Seven to Eternity Volume 4: The Springs of Zhal,Rick Remender,14,9,2021,Paperback,17.53,17.53
724,"Gideon Falls Deluxe Edition, Book One",Jeff Lemire,28,9,2021,Hardback,46.32,49.99
725,"Monstress, Volume 6: The Vow",Marjorie Liu,21,9,2021,Paperback,17.2,17.2
726,Kingdom of the Cursed,Kerri Maniscalco,5,10,2021,Hardback,20.47,20.59
727,A Court of Thorns and Roses Box Set,Sarah J. Maas,5,1,2021,Paperback,72.29,72.29
728,Bad Blood,John Carreyrou,11,7,2019,Paperback,23.08,23.08
729,American Marxism,Mark R. Levin,13,7,2021,Hardback,24.44,28.0
730,Sophie's World,Jostein Gaarder,8,10,2015,Paperback,10.76,12.35
731,Neuromancer,William Gibson,8,12,2016,Paperback,13.73,13.73
732,The Conscious Parent,Dr Shefali Tsabary,15,1,2015,Paperback,17.21,23.34
733,The Mindful Self-Compassion Workbook,Kristin Neff,21,12,2018,Paperback,19.85,19.95
734,Unofficial Harry Potter Cookbook,Dinah Bucholz,18,9,2010,Hardback,21.26,21.26
735,Little Kids First Big Book of Why,Amy Shields,9,6,2011,Hardback,18.48,18.48
736,The Scarecrows' Wedding,Julia Donaldson,7,7,2016,Paperback,16.27,16.27
737,The Highway Rat,Julia Donaldson,1,12,2020,Paperback,10.01,10.01
738,Letting Go,David R. Hawkins,3,3,2014,Paperback,17.86,18.99
739,The Writing Revolution,Judith C. Hochman,29,9,2017,Paperback,26.31,32.95
740,The Bitcoin Standard,Saifedean Ammous,8,6,2018,Hardback,23.21,29.95
741,Girl in Pieces,Kathleen Glasgow,18,9,2018,Paperback,12.28,12.28
742,It Didn't Start with You,Mark Wolynn,27,4,2017,Paperback,15.31,18.0
743,Coaching Habit,Bungay Michael Stainer,17,3,2016,Paperback,16.62,16.62
744,A Brief History Of Time,Stephen Hawking,20,1,2015,Paperback,16.6,20.25
745,Awaken The Giant Within,Tony Robbins,2,1,2001,Paperback,14.97,18.25
746,The Boy Who Made Everyone Laugh,Helen Rutter,4,2,2021,Paperback,10.6,10.6
747,David Attenborough: Volume 34,Maria Isabel Sanchez Vegara,4,2,2020,Hardback,18.1,18.1
748,1177 B.C.,Eric H. Cline,2,3,2021,Paperback,17.01,17.01
749,Once Upon a Chef: Weeknight/Weekend,Jennifer Segal,14,9,2021,Hardback,35.2,35.2
750,1177 B.C.,Eric H. Cline,2,3,2021,Paperback,17.01,17.01
751,Once Upon a Chef: Weeknight/Weekend,Jennifer Segal,14,9,2021,Hardback,35.2,35.2
752,The Name of the Wind,Patrick Rothfuss,30,6,2008,Paperback,14.21,14.22
753,Milkman,Anna Burns,1,11,2018,Paperback,12.02,12.35
754,Teach Yourself to Sleep,Kate Mikhail,10,6,2021,Paperback,23.09,23.09
755,The Menopause Manifesto,Dr. Jennifer Gunter,25,5,2021,Paperback,23.06,23.06
756,"Take a Hint, Dani Brown",Talia Hibbert,23,6,2020,Paperback,15.65,15.65
757,On the Night You Were Born,Nancy Tillman,1,12,2014,Board book,8.31,8.31
758,Interaction of Color,Josef Albers,1,11,2020,Paperback,20.05,20.05
759,Agent Sonya,Ben Macintyre,27,5,2021,Paperback,15.91,15.91
760,A Clockwork Orange,Anthony Burgess,16,6,2011,Paperback,9.63,18.25
761,The Artist's Way,Julia Cameron,8,11,2016,Paperback,18.48,18.48
762,Twelve Angry Men,Reginald Rose,14,7,2011,Paperback,11.1,14.0
763,Fish in a Tree,Lynda Mullaly Hunt,9,5,2017,Paperback,8.11,8.99
764,Percy Jackson and the Last Olympian (Book 5),Rick Riordan,4,7,2013,Paperback,15.12,15.12
765,The Picture of Dorian Gray,Oscar Wilde,28,6,2012,Paperback,9.52,9.52
766,The Myth of Sisyphus,Albert Camus,1,10,2005,Paperback,7.7,11.0
767,Of Mice and Men,Mr John Steinbeck,1,3,2007,Paperback,11.94,11.94
768,Loveless,Alice Oseman,20,7,2020,Paperback,13.42,13.42
769,Radio Silence,Alice Oseman,3,3,2016,Paperback,16.21,16.21
770,The Butterfly Lion,Michael Morpurgo,1,3,2012,Paperback,9.03,9.03
771,Gild,Raven Kennedy,1,10,2020,Paperback,18.57,18.99
772,"Chainsaw Man, Vol. 8",Tatsuki Fujimoto,23,12,2021,Paperback,11.49,11.49
773,The Land of Stories: The Wishing Spell,Chris Colfer,6,6,2013,Paperback,14.14,14.14
774,Waiting for Baby,,1,2,2010,Board book,7.68,7.68
775,The Art of Luca,,1,7,2021,Hardback,43.73,43.73
776,Liz Climo 2022 Daily Calendar,Liz Climo,19,8,2021,Calendar,16.69,16.69
777,Cook As You Are,Ruby Tandoh,7,10,2021,Paperback,25.88,27.46
778,What I Love About You,Studio Press,1,6,2019,Hardback,15.75,16.95
779,Snow Country,Sebastian Faulks,2,9,2021,Paperback,18.96,19.22
780,When We Cease to Understand the World,Benjamin Labatut,6,5,2021,Paperback,11.84,12.35
781,Maths Games for Clever Kids (R),Gareth Moore,8,3,2018,Paperback,5.74,6.86
782,Vinland Saga 12,Makoto Yukimura,26,10,2021,Hardback,20.58,22.99
783,Crystals for Beginners,Karen Frazier,17,10,2017,Paperback,15.98,15.98
784,Thinking in Systems,Donella Meadows,3,12,2008,Paperback,16.03,19.95
785,Growing Gourmet and Medicinal Mushrooms,Paul Stamets,8,7,2016,Paperback,47.59,47.59
786,Dune,Frank Herbert,3,9,2021,Paperback,15.66,15.66
787,On Earth We're Briefly Gorgeous,Ocean Vuong,17,9,2020,Paperback,16.02,16.02
788,The Children of Jocasta,Natalie Haynes,1,6,2021,Paperback,15.76,15.76
789,The Shadow Sister,Lucinda Riley,11,7,2019,Paperback,16.04,16.04
790,Defy the Night,Brigid Kemmerer,14,9,2021,Paperback,11.72,11.72
791,The Snail and the Whale,Julia Donaldson,6,4,2017,Board book,14.27,14.27
792,My Own Words,Ruth Bader Ginsburg,16,10,2018,Paperback,16.26,18.0
793,Relentless,Tim S. Grover,13,3,2014,Paperback,13.46,17.0
794,The Madness of Crowds,Douglas Murray,10,9,2020,Paperback,15.73,15.73
795,Redemptor,Hot Key Books,17,8,2021,Paperback,10.78,12.35
796,American Psycho,Bret Easton Ellis,8,1,2015,Paperback,10.93,12.35
797,Hani and Ishu's Guide to Fake Dating,Adiba Jaigirdar,27,5,2021,Paperback,9.73,10.98
798,The Famous Five Collection 1,Enid Blyton,6,9,2012,Paperback,17.2,17.5
799,"Death Note Black Edition, Vol. 2",Tsugumi Ohba,13,4,2011,Paperback,29.98,29.98
800,The Maidens,Alex Michaelides,10,6,2021,Hardback,17.5,20.59
801,Coraline,Neil Gaiman,10,10,2013,Paperback,9.55,9.6
802,Tiddler,Julia Donaldson,18,1,2017,Paperback,11.86,11.86
803,Medical Medium,Anthony William,23,3,2021,Hardback,40.35,40.35
804,Extreme Ownership,Jocko Willink,6,12,2017,Hardback,21.09,27.99
805,Inspired,Marty Cagan,30,1,2018,Hardback,23.6,30.0
806,Toe by Toe,Keda Cowling,1,12,1993,Paperback,47.1,47.1
807,Lonely Castle in the Mirror,Mizuki Tsujimura,22,4,2021,Paperback,20.94,20.94
808,Meditations,Marcus Aurelius,10,2,2020,Hardback,11.12,12.99
809,A Little Hatred,Joe Abercrombie,14,5,2020,Paperback,12.05,12.35
810,Nina Simone's Gum,Warren Ellis,19,10,2021,Hardback,26.72,27.95
811,Outline,Rachel Cusk,20,6,2018,Paperback,14.55,14.55
812,On All Fronts,Clarissa Ward,9,9,2021,Paperback,16.84,18.0
813,Spelling for Life,Lyn Stone,31,8,2021,Paperback,32.28,32.28
814,"Act Your Age, Eve Brown",Talia Hibbert,9,3,2021,Paperback,15.99,15.99
815,Circe,Madeline Miller,15,1,2020,Paperback,12.71,13.72
816,The Compound Effect,Darren Hardy,15,9,2020,Hardback,17.8,19.99
817,"Mastering the Art of French Cooking, Vol.1",Julia Child,24,11,2011,Paperback,21.09,29.0
818,"Index, A History of the",Dennis Duncan,2,9,2021,Hardback,26.82,27.48
819,East,Meera Sodha,22,8,2019,Hardback,32.38,32.38
820,Peepo! (Board Book),Allan Ahlberg,21,6,2011,Board book,9.93,13.75
821,XOXO,Axie Oh,5,8,2021,Hardback,17.4,17.99
822,The Upside of Falling,Alex Light,15,4,2021,Paperback,10.49,10.99
823,Crier's War,Nina Varela,17,9,2020,Paperback,11.09,11.09
824,The Complete TurtleTrader,Michael W Covel,31,8,2011,Paperback,13.82,17.99
825,Say Nothing,Patrick Radden Keefe,11,10,2019,Paperback,15.92,15.92
826,The Mirror and the Light,Hilary Mantel,29,4,2021,Paperback,17.12,17.12
827,Moleskine 2022 12-Month Weekly Pocket Hardcover Notebook: Ice Green,Moleskine,10,6,2021,Hardback,14.57,23.34
828,From One Mom to a Mother,Jessica Urlichs,30,7,2020,Paperback,11.88,13.5
829,Ley de lobos,Leigh Bardugo,29,11,2021,Hardback,20.99,23.45
830,Peril,Bob Woodward,21,9,2021,Hardback,29.41,30.0
831,Where Tomorrows Aren't Promised,Carmelo Anthony,14,9,2021,Hardback,24.1,28.0
832,"Blood On The Tracks, Volume 1",Shuzo Oshimi,27,2,2020,Paperback,12.62,12.95
833,Seasons of the Witch: Yule Oracle,Lorriane Anderson,16,9,2021,Cards,20.87,21.95
834,Little Bont and the Big Secret,Marcus Bontempelli,26,10,2021,Hardback,13.4,14.53
835,The Good Life,Hannah Moloney,31,8,2021,Paperback,49.38,49.38
836,The Art of Loving,Erich Fromm,10,7,1995,Paperback,6.07,12.64
837,The Dispossessed,Ursula K. Le Guin,12,8,1999,Paperback,19.31,19.31
838,Four Thousand Weeks,Oliver Burkeman,26,8,2021,Hardback,21.91,23.34
839,The Gift,Edith Eger,3,9,2020,Hardback,17.93,20.59
840,Know Your Rights,Angelina Jolie,2,9,2021,Paperback,9.87,10.98
841,Marvel: Storybook Collection Advent Calendar,Autumn Publishing,4,10,2021,Paperback,31.49,31.49
842,Bunny,Mona Awad,6,2,2020,Paperback,16.74,16.74
843,The Artist's Way,Julia Cameron,5,11,2020,Paperback,24.06,24.06
844,Gallant,V.E. Schwab,1,3,2022,Hardback,22.12,24.71
845,The Laws of Human Nature,Robert Greene,24,10,2018,Paperback,22.11,24.71
846,The Flip Out: Sam Kerr: Kicking Goals #1,Sam Kerr,15,9,2021,Paperback,25.11,25.11
847,Un-cook Yourself,Nat's What I Reckon,15,12,2020,Paperback,35.09,35.09
848,Wings of Fire 1-5 Boxed Set,"Tui,T Sutherland",1,11,2019,Paperback,42.7,43.62
849,A Touch of Darkness,Scarlett St. Clair,30,11,2021,Paperback,17.71,17.71
850,Self-Love Workbook for Women,Megan Logan,29,9,2020,Paperback,18.37,18.37
851,How a Realist Hero Rebuilt the Kingdom (Light Novel) Vol. 3,Dojyomaru,28,5,2019,Paperback,17.25,17.25
852,Our Dreams at Dusk: Shimanami Tasogare Vol. 1,Yuhki Kamatani,7,5,2019,Paperback,14.18,14.18
853,Witch Hat Atelier 1,Kamome Shirahama,9,4,2019,Paperback,13.41,13.41
854,The Gifts Of Imperfection,Brené Brown,4,10,2010,Paperback,14.43,14.95
855,Macbeth (No Fear Shakespeare),Sparknotes,23,2,2011,Paperback,8.57,8.57
856,Why Men Love Bitches,Sherry Argov,27,1,2011,Paperback,15.11,15.95
857,The Body,Stephen King,9,9,2021,Paperback,11.21,11.21
858,"Authentically, Uniquely You",Joyce Meyer,16,9,2021,Paperback,15.62,20.59
859,A Deadly Education,Naomi Novik,6,5,2021,Paperback,15.07,15.07
860,Beyond Behaviours,Mona Delahooke,19,3,2020,Paperback,24.93,27.46
861,Tales from the Cafe,Toshikazu Kawaguchi,24,9,2020,Paperback,13.78,13.78
862,We Hunt the Flame,Hafsah Faizal,18,3,2021,Paperback,14.8,14.8
863,The Gruffalo,Julia Donaldson,19,8,2016,Paperback,12.69,12.69
864,How Emotions Are Made,Lisa Feldman Barrett,8,2,2018,Paperback,15.38,15.38
865,The Bewitching of Aveline Jones,Phil Hickes,16,9,2021,Paperback,9.84,9.84
866,What Abigail Did That Summer,Ben Aaronovitch,16,9,2021,Paperback,11.0,11.0
867,The Bands of Mourning,Brandon Sanderson,12,1,2017,Paperback,16.44,16.44
868,Raybearer,Jordan Ifueko,18,8,2020,Paperback,11.21,12.35
869,Yoga Anatomy,Leslie Kaminoff,1,11,2011,Paperback,24.76,24.76
870,The 26-Storey Treehouse,Andy Griffiths,7,5,2015,Paperback,12.18,12.18
871,Death Note (All-in-One Edition),Tsugumi Ohba,21,9,2017,Paperback,71.21,71.21
872,"One-Punch Man, Vol. 2",ONE,1,2,2016,Paperback,20.67,20.67
873,Expecting Better,Emily Oster,9,8,2018,Paperback,15.2,15.2
874,The Two Lost Mountains,Matthew Reilly,22,7,2021,Paperback,11.51,12.35
875,Throne of Glass,Sarah J. Maas,26,2,2015,Paperback,12.57,12.57
876,The Whale Who Wanted More,Rachel Bright,5,8,2021,Paperback,10.35,10.35
877,There's A House Inside My Mummy Board Book,Giles Andreae,5,1,2012,Board book,9.31,9.6
878,Stick Man Early Reader,Julia Donaldson,6,12,2012,Paperback,6.83,11.25
879,Heroes,Stephen Fry,16,7,2019,Paperback,14.19,14.19
880,Cambridge IGCSE (R) First Language English Coursebook,Marian Cox,25,5,2018,Paperback,43.76,43.76
881,I Know Why The Caged Bird Sings,Maya Angelou,28,8,2018,Paperback,10.1,14.22
882,The Gift Of Therapy,Irvin Yalom,27,2,2003,Paperback,18.6,18.6
883,Make Your Bed,Admiral William H. McRaven,12,7,2017,Hardback,13.03,13.72
884,Spot Goes to the Farm,Eric Hill,27,6,2011,Board book,10.21,10.21
885,Create This Book,Moriah Elizaberh,17,5,2015,Paperback,18.97,18.97
886,The Essential Oils Apothecary,Eric Zielinski,7,9,2021,Paperback,21.46,21.46
887,The Trouble With Peace,Joe Abercrombie,13,5,2021,Paperback,11.3,12.35
888,Dune,Frank Herbert,30,5,2018,Hardback,24.46,24.46
889,Warbreaker,Brandon Sanderson,29,12,2011,Paperback,17.21,19.5
890,Mr Salary,Sally Rooney,3,1,2019,Paperback,7.8,7.8
891,"Philadelphia, Here I Come",Brian Friel,1,3,1994,Paperback,11.62,16.0
892,Bobby Fischer Teaches Chess,Bobby Fischer,1,10,1992,Paperback,8.25,8.99
893,Romeo and Juliet,William Shakespeare,1,7,1993,Paperback,3.42,3.42
894,Wabi Sabi,Beth Kempton,30,8,2018,Hardback,18.38,18.38
895,The Roommate,Rosie Danan,15,9,2020,Paperback,23.96,23.96
896,No-Drama Discipline,Daniel J. Siegel,12,7,2016,Paperback,15.47,17.0
897,Rebecca,Daphne Du Maurier,3,5,2016,Paperback,18.33,18.33
898,Wrinkle in Time,Madeleine L'Engle,1,5,2008,Paperback,7.8,7.8
899,Boundaries Updated and Expanded Edition,Dr. Henry Cloud,2,11,2017,Paperback,15.01,19.99
900,Norwegian Wood,Haruki Murakami,28,4,2011,Paperback,10.77,10.77
901,Lolita,Vladimir Nabokov,16,6,2011,Paperback,21.01,21.01
902,How to Change Your Mind,Michael Pollan,18,7,2019,Paperback,14.85,15.1
903,Two Can Keep a Secret,Karen M. McManus,10,1,2019,Paperback,11.0,11.0
904,Perfume,Patrick Süskind,1,4,2010,Paperback,16.28,19.75
905,I Capture The Castle,Dodie Smith,5,2,2004,Paperback,11.59,12.64
906,Howl's Moving Castle,Diana Wynne Jones,7,8,2001,Paperback,9.28,9.28
907,"Predictably Irrational, Revised",Dr Dan Ariely,24,6,2011,Paperback,9.67,9.67
908,MEGAMONSTER,David Walliams,24,6,2021,Hardback,23.42,23.42
909,Animal Farm,George Orwell,7,1,2021,Paperback,6.32,6.32
910,The Alchemist,Paulo Coelho,2,7,2015,Hardback,13.0,13.72
911,Foundation and Empire,Isaac Asimov,6,10,2016,Paperback,7.74,12.35
912,Legendary (Caraval 2),Stephanie Garber,28,9,2021,Paperback,16.59,17.95
913,The Book of St. Brigid,Colm Keane,8,9,2021,Paperback,19.0,20.61
914,Dessert Person,Claire Saffitz,20,10,2020,Hardback,35.02,35.02
915,What Colour Is Your Parachute? 2021,Richard N. Bolles,22,12,2020,Paperback,17.6,19.99
916,"Undead Unluck, Vol. 3",Yoshifumi Tozuka,14,10,2021,Paperback,10.31,10.31
917,"Spy x Family, Vol. 5",Tatsuya Endo,8,7,2021,Paperback,10.31,10.31
918,"My Hero Academia, Vol. 27",Kohei Horikoshi,10,6,2021,Paperback,9.57,9.99
919,Unsettled,Steven E. Koonin,4,5,2021,Hardback,23.18,24.95
920,The Phoenix Project,Gene Kim,27,2,2018,Paperback,23.12,24.0
921,The Magdalen Manuscript: The Alchemies of Horus & the Sex Magic of Isis,Tom Kenyon,1,1,2002,Paperback,21.93,21.93
922,The Labyrinth: Winner of the 2021 Miles Franklin,Amanda Lohrey,4,8,2020,Paperback,30.91,30.91
923,"The Good Enough Parent: How to raise contented, interesting and resilient children",The School of Life,19,4,2022,Hardback,28.23,28.23
924,The Seven Spiritual Laws of Success,Deepak Chopra,9,3,2015,Paperback,8.2,8.95
925,Frankenstein,Mary Shelley,1,8,1997,Paperback,4.3,5.99
926,Moby Dick,Herman Melville,1,12,1999,Paperback,6.01,6.01
927,The One Thing,Gary Keller,10,5,2016,Paperback,15.3,15.3
928,The Miracle Of Mindfulness,Thich Nhat Hanh,7,2,2008,Paperback,14.65,14.65
929,The PodyCharts foot charts for reflexology,Annie Trigg,31,7,2021,Paperback,51.6,51.6
930,The Invisible Life of Addie LaRue Export Edition,V. E. Schwab,8,10,2020,Paperback,24.15,24.15
931,Healing Is the New High,Vex King,13,4,2021,Paperback,20.24,20.24
932,Moonology (TM) Manifestation Oracle,Yasmin Boland,19,10,2021,Cards,19.68,21.99
933,The Denial of Death,Ernest Becker,5,3,2020,Paperback,15.13,15.13
934,The Disney Book of Maps,,1,10,2020,Hardback,22.77,22.77
935,The Humans,Matt Haig,9,8,2018,Paperback,14.24,14.24
936,Rick Stein at Home,Rick Stein,30,11,2021,Hardback,37.84,49.95
937,Eat to Beat Disease: The Body's Five Defence Systems and the Foods that Could Save Your Life,Dr William Li,3,5,2019,Paperback,24.01,24.01
938,The Girl in The Tower,Katherine Arden,9,8,2018,Paperback,19.99,19.99
939,The Three-Body Problem,Cixin Liu,1,2,2016,Paperback,13.54,13.54
940,The Gifts of Imperfection,Brene Brown,8,9,2020,Hardback,21.06,21.06
941,The Second Sex (Vintage Feminism Short Edition),Simone de Beauvoir,5,3,2015,Paperback,6.72,6.86
942,A Vindication of the Rights of Woman (Vintage Feminism Short Edition),Mary Wollstonecraft,5,3,2015,Paperback,6.67,8.95
943,The Rise of the Ultra Runners,Adharanand Finn,2,4,2020,Paperback,12.71,13.72
944,How to Stop Time,Matt Haig,1,1,2018,Paperback,14.22,14.22
945,At Night All Blood is Black,David Diop,6,5,2021,Paperback,14.42,14.42
946,LEGO (R): Official Annual 2022 (with Tread Octane minifigure),Buster Books,16,9,2021,Hardback,11.26,11.26
947,The Kids' Book of Crosswords 1,Gareth Moore,6,4,2017,Paperback,4.59,5.48
948,The Fast 800,Dr Michael Mosley,2,1,2019,Paperback,18.45,18.45
949,Mortals,Rachel Menzies,14,9,2021,Paperback,37.6,37.6
950,"Kinship: Belonging in a World of Relations, 5-Volume Set",,18,11,2021,Paperback,69.36,100.0
951,Boyfriend Material,Alexis Hall,7,8,2020,Paperback,15.56,15.56
952,"Blue Ocean Strategy, Expanded Edition: How to Create Uncontested Market Space and Make the Competition Irrelevant",W. Chan Kim,13,2,2015,Hardback,26.2,32.0
953,Vinland Saga 1,Makoto Yukimura,25,7,2019,Hardback,23.02,23.02
954,StrengthsFinder 2.0,Gallup,24,7,2015,Hardback,30.98,39.99
955,Mycelium Running,Paul Stamets,10,10,2017,Paperback,36.59,36.59
956,Layla,Colleen Hoover,8,12,2020,Paperback,12.51,14.95
957,The Sun Dog,Stephen King,9,9,2021,Paperback,11.21,11.21
958,Kingdom of the Wicked,Kerri Maniscalco,28,9,2021,Paperback,10.73,12.35
959,Vaxxers,Sarah Gilbert,15,2,2022,Hardback,22.45,28.99
960,Lily's Promise,Lily Ebert,2,9,2021,Hardback,25.34,26.09
961,Cinderella Is Dead,Kalynn Bayron,6,8,2020,Paperback,10.88,10.98
962,A Court of Silver Flames,Sarah J. Maas,16,2,2021,Hardback,26.44,26.44
963,Indistractable,Nir Eyal,6,2,2020,Paperback,15.22,15.22
964,A Tale of Magic: A Tale of Sorcery,Chris Colfer,30,9,2021,Hardback,18.2,18.2
965,Plague of Corruption,Judy Mikovits,30,9,2021,Paperback,18.57,19.99
966,The Boy At the Back of the Class,Onjali Q. Rauf,12,7,2018,Paperback,9.59,10.98
967,The Pearl Sister,Lucinda Riley,5,4,2018,Paperback,18.9,18.9
968,A Squash and a Squeeze,Julia Donaldson,23,9,2016,Paperback,12.2,12.75
969,Oh Crap! Potty Training,Jamie Glowacki,26,7,2018,Paperback,14.95,16.99
970,Exciting Times,Naoise Dolan,4,3,2021,Paperback,16.02,16.02
971,Home Stretch,Graham Norton,29,4,2021,Paperback,15.89,15.89
972,Legendary,Stephanie Garber,21,2,2019,Paperback,13.86,13.86
973,Make Your Bed,Admiral William H. McRaven,25,5,2017,Hardback,17.34,20.0
974,What Really Happened In Wuhan,Sharri Markson,30,9,2021,Hardback,25.95,28.99
975,The Henna Wars,Adiba Jaigirdar,7,1,2021,Paperback,14.33,14.33
976,Grains of Gold Coloring Book,Hanna Karlzon,31,8,2021,Hardback,18.81,18.81
977,"Haikyu!!, Vol. 1",Haruichi Furudate,28,7,2016,Paperback,20.29,20.29
978,Smashed: Junji Ito Story Collection,Junji Ito,16,5,2019,Hardback,21.98,22.99
979,Gyo (2-in-1 Deluxe Edition),Junji Ito,7,5,2015,Hardback,26.72,26.72
980,"One Piece (Omnibus Edition), Vol. 2",Eiichiro Oda,18,8,2011,Paperback,28.95,28.95
981,Live Beautiful,Athena Calderone,3,3,2020,Hardback,42.32,42.32
982,A Song for the Dark Times,Ian Rankin,29,4,2021,Paperback,15.24,15.24
983,Harry Potter and the Deathly Hallows,J.K. ROWLING,1,9,2014,Paperback,14.27,14.27
984,The Love Hypothesis,Ali Hazelwood,21,10,2021,Paperback,13.0,13.0
