,title,author,publication_day,publication_month,publication_year,format,current_price,original_price
90,Crooked Kingdom Collector's Edition,Leigh Bardugo,5,9,2019,Hardback,21.59,23.34
91,Have You Filled A Bucket Today?,Carol McCloud,1,10,2015,Paperback,9.77,9.95
92,Meine Reise durch Europa,Rita Berman,30,9,2021,Paperback,10.34,10.34
93,This is Going to Hurt,Adam Kay,19,4,2018,Paperback,12.84,12.84
94,November 9,Colleen Hoover,10,11,2015,Paperback,15.38,16.99
95,The Bell Jar,Sylvia Plath,15,8,2011,Paperback,11.78,12.95
96,The Whole-Brain Child,Daniel J. Siegel,29,11,2018,Paperback,13.88,17.0
97,The Song of Achilles,Madeline Miller,28,8,2012,Paperback,15.71,16.99
98,Giraffes Can't Dance,Giles Andreae,1,5,2014,Paperback,11.52,13.25
99,The Deal,Elle Kennedy,24,2,2015,Paperback,15.24,15.24
100,The Unhoneymooners,Christina Lauren,14,5,2019,Paperback,15.71,16.99
101,These Hollow Vows,Lexi Ryan,20,7,2021,Hardback,20.3,20.3
102,The Koala Who Could,Rachel Bright,17,2,2017,Paperback,12.47,12.47
103,Heartstopper Volume Four,Alice Oseman,13,5,2021,Paperback,17.36,17.36
104,The Forever Dog,Rodney Habib,12,10,2021,Paperback,17.22,19.24
105,The Inheritance Games,Jennifer Lynn Barnes,27,7,2021,Paperback,12.7,12.7
106,"Girl, Woman, Other",Bernardine Evaristo,5,3,2020,Paperback,14.48,14.48
107,"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,22,10,2020,Hardback,21.05,22.99
108,From Blood and Ash,Jennifer L Armentrout,25,5,2021,Hardback,37.06,37.06
109,The Almanack of Naval Ravikant,Eric Jorgenson,15,9,2020,Paperback,14.98,16.99
110,Children Of Dune,Frank Herbert,28,1,2021,Paperback,16.57,16.57
111,Mindset - Updated Edition,Dr Carol Dweck,11,4,2017,Paperback,24.05,24.05
112,The Lion Inside,Rachel Bright,10,3,2016,Paperback,12.0,12.0
113,The Flatshare,Beth O'Leary,11,5,2020,Paperback,15.49,15.49
114,The Promise,Damon Galgut,17,6,2021,Paperback,19.92,19.92
115,The Daily Stoic,Ryan Holiday,3,1,2017,Paperback,13.13,15.1
116,The Scum Villain's Self-Saving System: Ren Zha Fanpai Zijiu Xitong (Novel) Vol. 2,Mo Xiang Tong Xiu,19,4,2022,Paperback,17.89,19.99
117,The House in the Cerulean Sea,TJ Klune,16,9,2021,Paperback,13.25,13.25
118,What Really Happened In Wuhan,Sharri Markson,29,9,2021,Paperback,22.77,25.44
119,Dance of Thieves,Mary Pearson,6,8,2019,Paperback,14.62,14.62
120,Think Again,Adam Grant,4,2,2021,Paperback,18.62,20.59
121,They Both Die at the End,Adam Silvera,18,12,2018,Paperback,13.06,13.06
122,The Four Agreements,Don Miguel Ruiz,7,11,1997,Paperback,11.42,12.95
123,Four Thousand Weeks,Oliver Burkeman,26,8,2021,Paperback,30.86,30.86
124,Six of Crows,Leigh Bardugo,2,6,2016,Paperback,12.68,12.68
125,A Court of Thorns and Roses,Sarah J. Maas,5,6,2020,Paperback,11.88,12.35
126,The Folk of the Air Boxset,Holly Black,8,10,2020,Novelty book,39.29,39.29
127,"My Hero Academia, Vol. 1",Kohei Horikoshi,27,8,2015,Paperback,20.35,20.35
128,The Hawthorne Legacy,Jennifer Lynn Barnes,9,9,2021,Paperback,11.19,11.19
129,Breath,James Nestor,8,7,2021,Paperback,15.8,15.8
130,Dark Rise,C S Pacat,28,9,2021,Hardback,18.9,18.99
131,The Tiger Who Came to Tea,Judith Kerr,6,2,2006,Paperback,9.09,9.09
132,Crime and Punishment,Fyodor Dostoevsky,5,5,2000,Paperback,6.18,6.18
133,Untamed,Glennon Doyle,25,5,2020,Paperback,18.34,20.59
134,Berserk Volume 1,Kentaro Miura,17,3,2009,Paperback,13.92,14.99
135,How to Win Friends and Influence People,Dale Carnegie,16,5,2011,Paperback,10.69,10.69
136,BYWAYS. Photographs by Roger A Deakins,Roger  Deakins,19,10,2021,Hardback,56.5,56.5
137,The Promise,Damon Galgut,17,6,2021,Hardback,24.7,24.7
138,The Montessori Toddler,Simone Davies,12,4,2019,Paperback,17.72,19.95
139,The Wicked King (The Folk of the Air #2),Holly Black,4,10,2019,Paperback,10.44,12.35
140,And Away...,Bob Mortimer,16,9,2021,Paperback,21.39,21.39
141,The Day the Crayons Quit,Drew Daywalt,1,8,2014,Paperback,13.22,13.22
142,The Rainbow Fish,Marcus Pfister,1,7,2012,Paperback,10.27,10.27
143,When the Body Says No,Dr Gabor Mate,3,1,2019,Paperback,15.86,15.86
144,Think and Grow Rich,Napoleon Hill,1,9,2005,Paperback,10.29,10.29
145,How to Save a Life,LYNETTE RICE,28,9,2021,Paperback,18.43,20.59
146,"Vagabond (VIZBIG Edition), Vol. 1",Takehiko Inoue,3,7,2014,Paperback,30.7,30.7
147,I Want My Hat Back,Jon Klassen,4,10,2012,Paperback,9.54,15.5
148,One Up On Wall Street,Peter Lynch,31,10,2018,Paperback,15.62,18.99
149,The Untethered Soul,Michael A. Singer,7,11,2007,Paperback,14.1,18.95
150,"Good Vibes, Good Life",Vex King,4,12,2018,Paperback,13.92,16.99
151,Ranger 22,Ray Goggins,3,11,2021,Paperback,20.54,22.95
152,The Great Dune Trilogy,Frank Herbert,17,11,2005,Paperback,30.88,37.5
153,The Great Dune Trilogy,Frank Herbert,5,12,2019,Hardback,43.42,48.08
154,The Witcher Boxed Set,Andrzej Sapkowski,1,10,2020,Paperback,87.46,108.52
155,The Queen of Nothing (The Folk of the Air #3),Holly Black,23,7,2020,Paperback,13.88,13.88
156,Inward,Yung Pueblo,5,8,2020,Paperback,14.58,16.99
157,Tales From the Forest Kingdom Coloring Book,Hanna Karlzon,31,8,2021,Hardback,16.1,16.1
158,Nine Perfect Strangers,Liane Moriarty,5,6,2019,Paperback,15.23,15.23
159,Deep Work,Cal Newport,5,1,2016,Paperback,19.39,20.59
